Country,Count
Russia,1505
United States,923
China,810
Japan,695
Poland,507
Ukraine,414
India,367
Romania,358
Belarus,339
Canada,302
South Korea,283
Brazil,257
Iran,251
Germany,229
Taiwan,216
Hungary,215
Mexico,206
Netherlands,206
Sweden,201
Egypt,201
Argentina,199
Viet Nam,197
Bulgaria,193
Croatia,186
Switzerland,185
Hong Kong,180
Singapore,178
South Africa,178
France,172
United Kingdom,170
Australia,163
Slovakia,161
Czechia,160
Latvia,160
Lithuania,158
Colombia,157
Italy,155
Kazakhstan,154
Georgia,153
Spain,153
Indonesia,151
Austria,147
Finland,147
Thailand,145
Estonia,142
Greece,141
Turkey,140
Portugal,134
Cyprus,133
Denmark,133
Macao,132
Azerbaijan,132
Bangladesh,132
Slovenia,131
Luxembourg,129
Ireland,127
North Macedonia,126
Moldova,120
Sri Lanka,119
Syria,118
Armenia,118
Bosnia and Herzegovina,115
Cuba,115
Israel,115
Mongolia,107
Serbia,105
Norway,103
Kyrgyzstan,99
New Zealand,93
Chile,90
Turkmenistan,85
Venezuela,77
Belgium,72
Tajikistan,72
Tunisia,67
Jordan,62
Philippines,58
Nigeria,57
Malaysia,56
Bolivia,56
Kuwait,55
Serbia and Montenegro,46
Trinidad and Tobago,44
Uzbekistan,43
Morocco,40
,40
Albania,38
Saudi Arabia,34
United Arab Emirates,34
Peru,32
Montenegro,31
Dominican Republic,31
Palestine,30
El Salvador,30
Iceland,25
Libya,21
Mozambique,20
Malta,18
"Belarus
Russia",18
Ghana,16
Pakistan,16
Soviet Union,16
Ecuador,15
Czechoslovakia,12
"Russia
Ukraine",11
Lebanon,10
Costa Rica,7
"Czechia
Slovakia",7
Algeria,7
Yugoslavia,7
Gabon,6
"Belarus
Russia
Ukraine",6
North Korea,5
Madagascar,4
German Democratic Republic,4
Garbage Collectors,3
Végzetes Kivétel,3
Team Itello,3
Grötzsch men,3
rusty,3
Scorpions,3
byteam,3
SAS1,3
Kenya,3
Zimbabwe,3
Afghanistan,3
"Germany
Russia",3
UPC - Si es que va!,2
croSharks,2
DeeFuse,2
TNU Team,2
The Teddyborg,2
Balloons'R'us,2
"Hungary
Singapore
Sweden
United Kingdom",2
neting,2
Trial Version,2
Royal Air Force,2
Blue Screen Development,2
Turul,2
"Belarus
Canada
United States",2
Raf,2
sb,2
ProFIITers,2
qwertY,2
Obb,2
Qatar,2
"Romania
United Kingdom",2
sleep(0),2
Texas Codeboys,2
LegJava,2
ReBuildAll,2
powerhouse,2
Fafarafa,1
miners,1
Unibuc Red Devils,1
PP Team,1
NP-complete,1
Little Boy,1
BuciMacik,1
UPC - Greedy Always Work,1
Ethiopia,1
"Germany
Lithuania",1
Ablak-zsiráf,1
"Netherlands
Russia",1
2 Fast 2 Furious,1
eagles,1
Funky Monkey,1
Jon far bestamma,1
"Germany
Russia
Ukraine",1
Agents of Government's Hysteria,1
MKM,1
"Belarus
Kazakhstan
Russia",1
Jöttünk enni,1
Danos Un PC y haremos UVAs,1
"India
United States",1
Mr. Hankey,1
"Warm Apple Pie - Postapocalyptic version, Reloaded",1
Procrastination,1
Özv. Stückmájer Istvánné Erzsike Ceglédről,1
LT-United,1
NCU 1,1
"Taiwan
United States",1
/b/,1
UPC - Nintendo Underwear,1
Oerlikon KAB,1
Wx,1
Puddingforce,1
#define approaches -->,1
NoHuman,1
Cannon Fodder,1
Monkey Island,1
Warsaw Falcons,1
"Két ló, egy fickó (UPC)",1
The π-team,1
Jon får bestämma,1
Default Dream,1
TransPUTers,1
ToySoldiers,1
HK MP5,1
#define never (;0;),1
Silesian Engineers,1
Öröké tartó WeKings SB Barátság,1
Code Sharks,1
Gauss gun,1
"South Africa
United Kingdom",1
Egyél kekszet!,1
Override,1
N. I.,1
JTriumvirat,1
MAFC 2. asztalitenisz,1
Floware,1
ComFuture,1
RedCut,1
Bit-Torlók,1
Mind Chaos,1
SB,1
YETIODOK,1
dwdf,1
Exception,1
SoLux,1
FQM,1
Deprecated,1
Bakonytapéta,1
Csernozjom,1
Slug & Slay,1
NIK-kelbolha,1
Brain Cluster Inc,1
cookies,1
Errorsmiths,1
LufiHAL,1
mscgroup,1
PHP,1
Happy Hedgehog,1
hétalvók,1
majdnem,1
"Hong Kong
Singapore
Taiwan",1
"Belarus
Kyrgyzstan
Netherlands",1
Rwanda,1
Dorszum Keménymag,1
Antitalent,1
AbstractFactory,1
Core Dumpers,1
Universitas Vilnensis,1
iub_dsv,1
KergeBirge,1
Végzetes Kivél,1
"""Balloons""""R""""us""",1
E,1
LomtáVarálód>,1
Fast_and_Furious,1
oasis,1
Neumann,1
Comigraters,1
BruteForce,1
Total Nonsense,1
AGHostBusters,1
ELTE Practical Squad,1
Kergebirge,1
Che-Burr,1
Third Impact,1
BeCreative,1
Zero++,1
& Co.,1
J2xE,1
Javatarz,1
Team Kikkoman,1
BigAnt,1
HTP (Hack The Planet),1
funy_gr_apes,1
team rookworst,1
BinDream,1
Frankie Four Fingers,1
TorunTeam,1
Nem terminisztikus főgoritmus,1
Three-Headed Monkey,1
